Artist 1,Artist 2,Popular Collab,URL,Popularity,Artist From
Clean Bandit,Zara Larsson,Symphony (feat. Zara Larsson),https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,77.0,Artists from Same Playlist
Clean Bandit,Anne-Marie,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/2hrUO4drrO63i7FYbCLBl2,74.0,Artists from Same Playlist
Clean Bandit,Lauv,Stop Crying Your Heart Out - BBC Radio 2 Allstars,https://open.spotify.com/track/0vJN0jvhJ5nknlcIdDdlD3,34.0,Artists from Same Playlist
Clean Bandit,Lizzo,New Eyes (feat. Lizzo),https://open.spotify.com/track/6xyJHp3nAJGOc2Xy7ACsg1,21.0,Artists from Same Playlist
Clean Bandit,Halsey,Alone - Clean Bandit MFF Remix,https://open.spotify.com/track/483v27PMHWBtPFyXQ3rElQ,25.0,Artists from Same Playlist
Wiz Khalifa,Bruno Mars,"Young, Wild & Free (feat. Bruno Mars)",https://open.spotify.com/track/5HQVUIKwCEXpe7JIHyY734,74.0,Artists from Same Playlist
Wiz Khalifa,Charlie Puth,See You Again (feat. Charlie Puth),https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,80.0,Artists from Same Playlist
Wiz Khalifa,The Weeknd,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",https://open.spotify.com/track/7t2bFihaDvhIrd2gn2CWJO,79.0,Artists from Same Playlist
Wiz Khalifa,Maroon 5,Payphone,https://open.spotify.com/track/4P0osvTXoSYZZC2n8IFH3c,70.0,Artists in Different Playlists
Wiz Khalifa,Miley Cyrus,23,https://open.spotify.com/track/20FZrLl9zSbO9b3DhaqO6M,67.0,Artists from Same Playlist
Wiz Khalifa,Sheppard,Up,https://open.spotify.com/track/2IWTYdKpX1cpm3Ogefn9kb,22.0,Artists from Same Playlist
Wiz Khalifa,Megan Thee Stallion,"Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard)",https://open.spotify.com/track/34TAFsrcHSBvLxhXZMBRSF,38.0,Artists from Same Playlist
Selena Gomez,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),https://open.spotify.com/track/54PbBpquVfhfrwRwvjSXbI,79.0,Artists from Same Playlist
Selena Gomez,Zedd,I Want You To Know,https://open.spotify.com/track/1JDIArrcepzWDTAWXdGYmP,63.0,Artists from Same Playlist
Selena Gomez,Coldplay,Let Somebody Go,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf,66.0,Artists in Different Playlists
Selena Gomez,Tainy,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt,58.0,Artists from Same Playlist
Selena Gomez,Grey,Same Old Love - Grey Remix,https://open.spotify.com/track/0OufsCd9tCvEoAsXK7uJRW,21.0,Artists from Same Playlist
Selena Gomez,Kygo,It Ain’t Me (with Selena Gomez),https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs,64.0,Artists from Same Playlist
Selena Gomez,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,71.0,Artists from Same Playlist
Selena Gomez,Marshmello,Wolves,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,75.0,Artists from Same Playlist
Bipolar Sunshine,DJ Snake,Middle,https://open.spotify.com/track/0g5EKLgdKvNlln7TNqBByK,73.0,Artists from Same Playlist
Justin Bieber,Ed Sheeran,I Don't Care (with Justin Bieber),https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,78.0,Artists in Different Playlists
Justin Bieber,David Guetta,2U (feat. Justin Bieber),https://open.spotify.com/track/61WR5FfGNLJxpLsAc61qWQ,62.0,Artists from Same Playlist
Justin Bieber,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1,66.0,Artists from Same Playlist
Justin Bieber,Zedd,Let Me Love You - Zedd Remix,https://open.spotify.com/track/7xufmkFUZoSjX1mxWupnKY,34.0,Artists from Same Playlist
Justin Bieber,Miley Cyrus,Overboard (Live),https://open.spotify.com/track/5h4Z1fyzlAZhGPRaQz7ima,42.0,Artists from Same Playlist
Justin Bieber,The Kid LAROI,STAY (with Justin Bieber),https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,82.0,Artists from Same Playlist
Justin Bieber,Halsey,The Feeling,https://open.spotify.com/track/7E390nZTMqEbrNC1TmHd42,57.0,Artists from Same Playlist
Justin Bieber,DJ Snake,Let Me Love You,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,83.0,Artists from Same Playlist
Justin Bieber,Ariana Grande,Stuck with U (with Justin Bieber),https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,78.0,Artists from Same Playlist
Justin Bieber,Marshmello,Let Me Love You - Marshmello Remix,https://open.spotify.com/track/6Hx9gLuAKkOfoZoL79OSI1,45.0,Artists from Same Playlist
Kygo,Daft Punk,Starboy (feat. Daft Punk) - Kygo Remix,https://open.spotify.com/track/3DCc4HPrVukBeaDGe3Cosk,48.0,Artists from Same Playlist
Kygo,The Weeknd,Often - Kygo Remix,https://open.spotify.com/track/27NV2KxoQ8WuLMqlTDI61F,61.0,Artists from Same Playlist
Kygo,Zara Larsson,Like It Is,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN,54.0,Artists from Same Playlist
Kygo,Selena Gomez,It Ain’t Me (with Selena Gomez),https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs,64.0,Artists from Same Playlist
Kygo,Coldplay,Midnight - Kygo Remix,https://open.spotify.com/track/2CoWJhDYVENsByS7rPInSr,46.0,Artists in Different Playlists
