Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Common Artist
ME! (feat. Brendon Urie of Panic! At The Disco),spotify:track:2Rk4JlNc2TPmZe2af99d45,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",Lover,72,3.22,182.162,0,1,0.61,0.83,-4.105,0.0571,0.033,0.0,0.118,0.728,4,Panic! At The Disco
I Write Sins Not Tragedies,spotify:track:4bPQs0PHn4xbipzdPfn6du,https://open.spotify.com/track/4bPQs0PHn4xbipzdPfn6du,['Panic! At The Disco'],A Fever You Can't Sweat Out,71,3.11,170.094,9,0,0.569,0.83,-4.106,0.14,0.0807,0.0,0.114,0.609,4,Panic! At The Disco
Emperor's New Clothes,spotify:track:3px2rAPu74ltbkf9eZsZ8h,https://open.spotify.com/track/3px2rAPu74ltbkf9eZsZ8h,['Panic! At The Disco'],Death of a Bachelor,66,2.64,94.481,1,1,0.562,0.904,-4.947,0.0807,0.00302,0.0,0.0433,0.651,4,Panic! At The Disco
Don't Threaten Me with a Good Time,spotify:track:2fh3bZ8jZhMxOcfESE9nQY,https://open.spotify.com/track/2fh3bZ8jZhMxOcfESE9nQY,['Panic! At The Disco'],Death of a Bachelor,66,3.55,183.825,1,0,0.559,0.895,-4.476,0.0832,0.0154,0.0,0.175,0.59,4,Panic! At The Disco
Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,['Ed Sheeran'],÷ (Deluxe),86,3.9,95.977,1,0,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,4,Ed Sheeran
Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,['Ed Sheeran'],÷ (Deluxe),86,4.39,95.05,8,1,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,3,Ed Sheeran
Shivers,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,['Ed Sheeran'],=,83,3.46,141.02,2,1,0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,4,Ed Sheeran
Bad Habits,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,['Ed Sheeran'],=,79,3.85,126.011,11,0,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,4,Ed Sheeran
I Don't Care (with Justin Bieber),spotify:track:0hVXuCcriWRGvwMV1r5Yn9,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,"['Ed Sheeran', 'Justin Bieber']",No.6 Collaborations Project,78,3.67,101.956,6,1,0.798,0.676,-5.041,0.0442,0.0902,0.0,0.0894,0.843,4,Ed Sheeran
Fortnight (feat. Post Malone),spotify:track:2OzhQlSqBEmt7hmkYxfT6m,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,"['Taylor Swift', 'Post Malone']",THE TORTURED POETS DEPARTMENT,84,3.82,192.004,11,1,0.504,0.386,-10.976,0.0308,0.502,1.53e-05,0.0961,0.281,4,Taylor Swift
Lover,spotify:track:1dGr1c8CrMLDpV6mPbImSI,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,['Taylor Swift'],Lover,84,3.69,68.534,7,1,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,4,Taylor Swift
I Can Do It With a Broken Heart,spotify:track:4q5YezDOIPcoLr8R81x9qy,https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy,['Taylor Swift'],THE TORTURED POETS DEPARTMENT,83,3.63,129.994,0,1,0.701,0.751,-8.39,0.0502,0.123,0.0,0.15,0.22,4,Taylor Swift
august,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,['Taylor Swift'],folklore,83,4.37,89.937,5,1,0.532,0.623,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,4,Taylor Swift
cardigan,spotify:track:4R2kfaDFhslZEMJqAFNpdd,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,['Taylor Swift'],folklore,83,3.99,130.033,0,0,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,4,Taylor Swift
